frame,motion_size,prior_size,total_size,size_gt,psnr,psnr_gt
44,0.004548072814941406,0.09280014038085938,0.09734821319580078,7.6,35.24939727783203,35.479610443115234
45,0.004733085632324219,0.09283924102783203,0.09757232666015625,7.6,35.23554229736328,35.29590606689453
46,0.004958152770996094,0.09314823150634766,0.09810638427734375,7.6,35.04844665527344,34.983375549316406
47,0.005382537841796875,0.0944528579711914,0.09983539581298828,7.6,34.89031219482422,35.130958557128906
48,0.005476951599121094,0.0945138931274414,0.0999908447265625,7.6,34.80449295043945,35.3271598815918
49,0.005755424499511719,0.09472370147705078,0.1004791259765625,7.6,34.757843017578125,35.02473449707031
50,0.005938529968261719,0.09500789642333984,0.10094642639160156,7.6,34.33110046386719,34.454158782958984
51,0.00606536865234375,0.09499073028564453,0.10105609893798828,7.6,34.633052825927734,34.9364013671875
52,0.006134033203125,0.09569072723388672,0.10182476043701172,7.6,34.49583053588867,34.66697311401367
53,0.006239891052246094,0.09559822082519531,0.1018381118774414,7.6,34.56745147705078,34.80619430541992
54,0.006196022033691406,0.0960073471069336,0.102203369140625,7.6,34.621665954589844,34.939815521240234
55,0.006234169006347656,0.09547901153564453,0.10171318054199219,7.6,34.846519470214844,35.000091552734375
56,0.006224632263183594,0.09599018096923828,0.10221481323242188,7.6,34.84867477416992,35.1341438293457
57,0.0061626434326171875,0.0952310562133789,0.1013936996459961,7.6,35.126888275146484,35.337890625
58,0.006275177001953125,0.09597396850585938,0.1022491455078125,7.6,35.1296272277832,35.459754943847656
59,0.0061492919921875,0.09535980224609375,0.10150909423828125,7.6,34.52833938598633,35.05499267578125
61,0.0034418106079101562,0.08977031707763672,0.09321212768554688,7.6,34.39315414428711,35.2097282409668
62,0.0038557052612304688,0.091278076171875,0.09513378143310547,7.6,33.64959716796875,34.74049377441406
63,0.004708290100097656,0.09246063232421875,0.0971689224243164,7.6,34.11896514892578,34.574066162109375
64,0.0049152374267578125,0.09326839447021484,0.09818363189697266,7.6,34.205055236816406,34.599281311035156
65,0.0055255889892578125,0.09417915344238281,0.09970474243164062,7.6,33.788360595703125,34.53175354003906
66,0.005745887756347656,0.09461498260498047,0.10036087036132812,7.6,33.78068161010742,34.565677642822266
67,0.006114006042480469,0.0948038101196289,0.10091781616210938,7.6,34.18880844116211,34.877296447753906
